img1_path,img2_path,output_distance,output_angle
test/img1.png,test/img2.png,1,1
test/img1.png,test/img3.png,2,2
test/img1.png,test/img4.png,1,2
test/img1.png,test/img5.png,2,1
test/img1.png,test/img6.png,2,2
test/img1.png,test/img7.png,1,2
test/img1.png,test/img8.png,1,1
test/img2.png,test/img3.png,2,2
test/img2.png,test/img4.png,2,2
test/img2.png,test/img5.png,2,2
test/img2.png,test/img6.png,2,2
test/img2.png,test/img7.png,2,2
test/img2.png,test/img8.png,2,2
test/img3.png,test/img4.png,1,1
test/img3.png,test/img5.png,1,1
test/img3.png,test/img6.png,1,1
test/img3.png,test/img7.png,1,1
test/img3.png,test/img8.png,1,1
test/img4.png,test/img5.png,2,1
test/img4.png,test/img6.png,2,1
test/img4.png,test/img7.png,2,1
test/img4.png,test/img8.png,2,1
test/img5.png,test/img6.png,2,2
test/img5.png,test/img7.png,1,2
test/img5.png,test/img8.png,1,1
test/img6.png,test/img7.png,1,2
test/img6.png,test/img8.png,1,1
test/img7.png,test/img8.png,1,1
